app_id,game
1016920,Unrailed!
1030300,Hollow Knight: Silksong
1046030,ISLANDERS
105600,Terraria
1062090,Timberborn
1086940,Baldur's Gate 3
1091500,Cyberpunk 2077
1128920,EVERSPACE™ 2
113020,Monaco: What's Yours Is Mine
1145350,Hades II
1145360,Hades
1172470,Apex Legends™
1174180,Red Dead Redemption 2
1217060,Gunfire Reborn
1237970,Titanfall® 2
1282100,REMNANT II®
1291340,Townscaper
1313140,Cult of the Lamb
1335790,Operation: Tango
1363080,Manor Lords
1455840,Dorfromantik
1468260,Leaf Blower Revolution - Idle Game
1491670,Venba
1569580,Blue Prince
1593030,Terra Nil
1637320,Dome Keeper
1703340,The Stanley Parable: Ultra Deluxe
1812820,Bitburner
1836730,Echo Point Nova
1854430,How Fish Is Made
1894430,Plan B: Terraform
1931770,Chants of Sennaar
1948280,Stacklands
1957990,Tile Cities
1967510,Railbound
2072840,Word Factori
2073850,THE FINALS
2198150,Tiny Glade
2239150,Thronefall
2283300,Chants of Sennaar Demo
2357570,Overwatch® 2
236850,Europa Universalis IV
2379780,Balatro
2379910,Dystopika
2381620,Steam Engine Simulator
238960,Path of Exile
2486750,Beecarbonize
2525310,Drop Duchy
255710,Cities: Skylines
2678990,Minami Lane
2753900,The King is Watching
275850,No Man's Sky
2767030,Marvel Rivals
289070,Sid Meier’s Civilization® VI
2932580,Tiny Glade Demo
3035120,Is This Seat Taken?
3115220,Town to City
323190,Frostpunk
3241660,R.E.P.O.
333640,Caves of Qud
359320,Elite Dangerous
361280,Turmoil
383870,Firewatch
386070,Planetary Annihilation: TITANS
3920,Sid Meier's Pirates!
392110,ENDLESS™ Space 2
413150,Stardew Valley
427520,Factorio
452280,Factorio Demo
466560,Northgard: Definitive Edition
526870,Satisfactory
528230,SYNTHETIK: Legion Rising
552990,World of Warships
597220,West of Loathing
599390,Battle for Wesnoth
620,Portal 2
632470,Disco Elysium - The Final Cut
646570,Slay the Spire
648800,Raft
653530,Return of the Obra Dinn
730,Counter-Strike 2
774801,Crab Champions
813780,Age of Empires II: Definitive Edition
916440,Anno 1800
920210,LEGO® Star Wars™: The Skywalker Saga
949230,Cities: Skylines II
